Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,186,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0016.jp2,,Vol250,,,,,-1,0016,0,0
Image,187,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0002.jp2,,Vol250,,,,,-1,0002,0,0
Image,188,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0006.jp2,,Vol250,,,,,-1,0006,0,0
Image,189,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0012.jp2,,Vol250,,,,,-1,0012,0,0
Image,190,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0204.jp2,,Vol250,,,,,-1,0204,0,0
Image,191,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0210.jp2,,Vol250,,,,,-1,0210,0,0
Image,192,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0199.jp2,,Vol250,,,,,-1,0199,0,0
Image,193,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0172.jp2,,Vol250,,,,,-1,0172,0,0
Image,194,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0166.jp2,,Vol250,,,,,-1,0166,0,0
Image,195,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0167.jp2,,Vol250,,,,,-1,0167,0,0
Image,196,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0173.jp2,,Vol250,,,,,-1,0173,0,0
Image,197,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0198.jp2,,Vol250,,,,,-1,0198,0,0
Image,198,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0211.jp2,,Vol250,,,,,-1,0211,0,0
Image,199,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0205.jp2,,Vol250,,,,,-1,0205,0,0
Image,200,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0013.jp2,,Vol250,,,,,-1,0013,0,0
